ts,bus_voltage,shunt_voltage,load_voltage,current,power
230823182307,2.62,4.87,2.62,49.60,132.00
230823182307,2.62,5.27,2.62,51.40,134.00
230823182307,2.62,5.01,2.62,51.60,134.00
230823182307,2.62,5.21,2.63,52.70,138.00
230823182307,2.62,4.99,2.62,51.80,134.00
230823182307,2.62,5.11,2.62,51.00,132.00
230823182307,2.62,5.22,2.62,52.80,138.00
230823182307,2.62,4.98,2.62,49.70,132.00
230823182308,2.62,5.36,2.62,50.30,140.00
230823182308,2.62,4.57,2.62,45.70,122.00
230823182308,2.62,5.26,2.63,51.60,134.00
230823182308,2.62,5.08,2.62,51.30,134.00
230823182308,2.62,5.02,2.63,51.60,132.00
230823182308,2.62,5.19,2.63,52.90,138.00
230823182308,2.62,5.01,2.62,50.20,132.00
230823182309,2.62,4.60,2.62,52.40,138.00
230823182309,2.62,5.19,2.62,52.10,138.00
230823182309,2.62,5.17,2.63,50.90,132.00
230823182309,2.62,5.65,2.63,56.30,148.00
230823182309,2.62,5.17,2.62,50.70,134.00
230823182309,2.62,5.47,2.62,52.30,140.00
230823182309,2.62,5.05,2.62,50.30,132.00
230823182309,2.62,4.85,2.62,47.10,124.00
230823182310,2.62,4.98,2.62,51.30,134.00
230823182310,2.62,5.00,2.62,50.90,132.00
230823182310,2.62,5.22,2.62,52.20,138.00
230823182310,2.62,4.98,2.62,50.10,134.00
230823182310,2.62,5.13,2.62,52.30,138.00
230823182310,2.62,5.20,2.62,52.60,138.00
230823182310,2.62,5.06,2.62,50.40,132.00
230823182311,2.62,5.31,2.62,53.50,140.00
230823182311,2.62,5.04,2.62,49.90,132.00
230823182311,2.62,5.33,2.62,50.30,132.00
230823182311,2.62,5.27,2.62,53.10,138.00
230823182311,2.62,5.04,2.63,50.80,128.00
230823182311,2.62,5.04,2.62,53.30,140.00
230823182311,2.62,4.86,2.62,48.80,132.00
230823182311,2.62,5.04,2.62,49.40,128.00
230823182312,2.62,5.32,2.62,51.20,138.00
230823182312,2.62,5.54,2.63,54.70,144.00
230823182312,2.61,4.89,2.61,50.30,132.00
230823182312,2.62,4.92,2.62,50.90,134.00
230823182312,2.62,4.98,2.62,51.80,128.00
230823182312,2.62,4.86,2.62,49.50,132.00
230823182312,2.62,5.16,2.62,51.60,134.00
230823182313,2.62,5.49,2.62,54.90,144.00
230823182313,2.62,4.89,2.62,49.20,128.00
230823182313,2.62,5.09,2.63,49.40,128.00
230823182313,2.62,5.29,2.63,53.20,140.00
230823182313,2.61,4.58,2.62,44.50,118.00
230823182313,2.62,5.10,2.62,52.20,138.00
230823182313,2.62,5.44,2.62,49.70,132.00
230823182313,2.62,5.12,2.62,51.60,138.00
230823182314,2.62,4.85,2.62,50.60,128.00
230823182314,2.62,5.53,2.62,53.80,140.00
230823182314,2.62,5.17,2.62,52.40,138.00
230823182314,2.62,5.01,2.62,50.20,132.00
230823182314,2.62,5.26,2.62,54.70,144.00
230823182314,2.62,5.00,2.62,50.70,132.00
230823182314,2.62,5.27,2.62,51.90,134.00
230823182315,2.62,5.13,2.62,53.90,140.00
230823182315,2.62,4.88,2.62,49.20,128.00
230823182315,2.62,5.18,2.63,51.10,134.00
230823182315,2.62,4.88,2.62,49.30,128.00
230823182315,2.61,5.18,2.62,51.40,134.00
230823182315,2.62,5.14,2.62,52.40,138.00
230823182315,2.62,5.15,2.62,52.30,134.00
230823182315,2.62,5.07,2.62,51.00,134.00
230823182316,2.62,4.86,2.62,48.30,132.00
230823182316,2.62,4.82,2.62,47.10,124.00
230823182316,2.62,5.09,2.62,51.30,138.00
230823182316,2.62,5.01,2.62,49.20,128.00
230823182316,2.62,5.27,2.63,50.40,132.00
230823182316,2.62,4.72,2.62,47.60,132.00
230823182316,2.62,5.10,2.62,48.60,134.00
230823182317,2.62,5.11,2.62,52.00,138.00
230823182317,2.62,4.47,2.62,46.10,122.00
230823182317,2.62,5.02,2.62,48.40,128.00
230823182317,2.62,5.23,2.62,53.80,140.00
230823182317,2.61,5.34,2.62,52.90,138.00
230823182317,2.62,5.45,2.63,50.60,134.00
230823182317,2.62,5.41,2.62,55.00,144.00
230823182317,2.62,5.09,2.62,51.20,132.00
230823182318,2.62,5.45,2.62,51.50,138.00
230823182318,2.62,5.22,2.62,50.90,134.00
230823182318,2.62,4.93,2.62,49.40,128.00
230823182318,2.62,5.60,2.62,52.90,138.00
230823182318,2.62,5.40,2.62,55.80,140.00
230823182318,2.62,5.09,2.62,52.00,138.00
230823182318,2.62,5.03,2.62,48.50,128.00
